beds_baths_interaction,beds,baths,longitude,latitude,beds_to_baths_ratio,street_number,month_available,daysOnMarket,PhotosNum,High School Graduate (Age 25+)_ratio,nearby_subway_stations,Monthly Housing Costs,Precinct,Per Capita Income,day_available,log_monthly_housing_costs,zip,Employed_ratio,Bachelor’s Degree (Age 25+)_ratio,Median Gross Rent,median_income_scaled,Median Home Value,hasVideo,occupied_to_vacant_ratio,propertyType_rental,propertyType_condo,crime_rate,White Alone_ratio,schools_in_precinct,price_bin,price
4.0,2,2.0,-74.00900269,40.71279907,0.6666666666666666,30.0,12,17.0,10,0.0253130828670397,39,4001.0,1,191709.0,9,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,0,1,1.2589646893465996,0.7288835598188116,25,2,12950.0
6.0,3,2.0,-74.00490967,40.7175133,1.0,81.0,11,8.0,6,0.0609106033341255,21,2831.0,1,157378.0,15,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,1,0,1.2589646893465996,0.5778358741045054,25,2,15000.0
4.0,2,2.0,-74.00559998,40.72140121,0.6666666666666666,1.0,11,18.0,10,0.0609106033341255,12,2831.0,1,157378.0,8,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,12000.0
4.0,2,2.0,-74.00393574,40.71867163,0.6666666666666666,50.0,1,15.0,9,0.0609106033341255,18,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,0,1.2589646893465996,0.5778358741045054,25,2,16000.0
2.0,1,2.0,-74.00461391,40.7181748,0.3333333333333333,84.0,11,17.0,11,0.0609106033341255,18,2831.0,1,157378.0,16,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,1,0,1.2589646893465996,0.5778358741045054,25,2,8250.0
6.0,3,2.0,-74.00783485,40.71388731,1.0,19.0,1,20.0,11,0.0253130828670397,36,4001.0,1,191709.0,1,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,0,1,1.2589646893465996,0.7288835598188116,25,2,12000.0
20.0,4,5.0,-74.01293541,40.71377431,0.6666666666666666,100.0,12,18.0,15,0.0253130828670397,21,4001.0,1,191709.0,15,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,0,1,1.2589646893465996,0.7288835598188116,25,2,29995.0
3.0,3,1.0,-74.0102005,40.7140007,1.5,53.0,11,14.0,7,0.0253130828670397,30,4001.0,1,191709.0,25,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,1,0,1.2589646893465996,0.7288835598188116,25,2,6495.0
12.0,4,3.0,-74.01051909,40.71693652,1.0,315.0,11,21.0,20,0.0609106033341255,12,2831.0,1,157378.0,5,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,1,0,1.2589646893465996,0.5778358741045054,25,2,13750.0
4.0,2,2.0,-74.00624442,40.71765047,0.6666666666666666,56.0,2,25.0,13,0.0609106033341255,15,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,21500.0
16.0,4,4.0,-74.00785746,40.7221655,0.8,46.0,1,26.0,18,0.0609106033341255,9,2831.0,1,157378.0,8,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,32500.0
6.0,3,2.0,-74.00619775,40.72011527,1.0,8.0,10,26.0,12,0.0609106033341255,12,2831.0,1,157378.0,31,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,1,0,1.2589646893465996,0.5778358741045054,25,2,10500.0
12.0,4,3.0,-74.00831126,40.7159678,1.0,108.0,10,25.0,10,0.0609106033341255,21,2831.0,1,157378.0,30,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,24000.0
4.0,2,2.0,-74.00624442,40.71765047,0.6666666666666666,56.0,1,26.0,15,0.0609106033341255,15,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,18995.0
9.0,3,3.0,-74.01042171,40.71710671,0.75,321.0,11,31.0,17,0.0609106033341255,12,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,1,0,1.2589646893465996,0.5778358741045054,25,2,40000.0
9.0,3,3.0,-74.00749969,40.71419907,0.75,16.0,10,36.0,19,0.0253130828670397,33,4001.0,1,191709.0,21,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,0,1,1.2589646893465996,0.7288835598188116,25,2,18000.0
4.0,2,2.0,-74.00479889,40.71659851,0.6666666666666666,93.0,1,42.0,14,0.0609106033341255,33,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,14995.0
15.0,3,5.0,-74.00996729,40.71783411,0.5,16.0,12,48.0,20,0.0609106033341255,9,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,1,0,1.2589646893465996,0.5778358741045054,25,2,32000.0
4.0,2,2.0,-74.00637039,40.71461476,0.6666666666666666,57.0,11,49.0,17,0.0253130828670397,24,4001.0,1,191709.0,8,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,0,1,1.2589646893465996,0.7288835598188116,25,2,10500.0
15.0,5,3.0,-74.00767637,40.71597883,1.25,134.0,12,35.0,13,0.0609106033341255,24,2831.0,1,157378.0,2,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,0,1.2589646893465996,0.5778358741045054,25,2,18000.0
4.0,2,2.0,-74.00302305,40.71848775,0.6666666666666666,391.0,12,48.0,13,0.0609106033341255,18,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,18500.0
20.0,5,4.0,-74.00283189,40.71931119,1.0,60.0,10,55.0,18,0.0609106033341255,18,2831.0,1,157378.0,2,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,1,0,1.2589646893465996,0.5778358741045054,25,2,27000.0
6.0,3,2.0,-74.00844087,40.71399706,1.0,125.0,11,26.0,13,0.0253130828670397,36,4001.0,1,191709.0,1,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,1,0,1.2589646893465996,0.7288835598188116,25,2,9500.0
4.0,2,2.0,-74.00853114,40.71468324,0.6666666666666666,38.0,10,56.0,13,0.0253130828670397,24,4001.0,1,191709.0,15,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,0,1,1.2589646893465996,0.7288835598188116,25,2,12995.0
4.0,2,2.0,-74.00624054,40.7147026,0.6666666666666666,55.0,10,54.0,5,0.0253130828670397,21,4001.0,1,191709.0,1,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,1,0,1.2589646893465996,0.7288835598188116,25,2,10000.0
9.0,3,3.0,-74.01229858,40.71569824,0.75,101.0,10,40.0,20,0.0253130828670397,15,4001.0,1,191709.0,16,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,1,0,1.2589646893465996,0.7288835598188116,25,2,18995.0
16.0,4,4.0,-74.00912387,40.7230602,0.8,443.0,11,69.0,17,0.0609106033341255,9,2831.0,1,157378.0,1,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,57500.0
12.0,4,3.0,-74.00800323,40.71879959,1.0,11.0,9,13.0,20,0.0609106033341255,12,2831.0,1,157378.0,13,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,95000.0
25.0,5,5.0,-74.00800323,40.71879959,0.8333333333333334,15.0,9,69.0,20,0.0609106033341255,12,2831.0,1,157378.0,13,7.94873845481361,10013,0.5398770923165722,0.3243812175330187,2113.0,1.2885205185058244,2000001.0,1,4.602309635510646,0,1,1.2589646893465996,0.5778358741045054,25,2,80000.0
4.0,2,2.0,-74.00850106,40.71565575,0.6666666666666666,103.0,9,78.0,6,0.0253130828670397,21,4001.0,1,191709.0,9,8.294549515143679,10007,0.5981881161737277,0.3798294697575273,3501.0,3.661350915703521,2000001.0,1,4.982229402261712,1,0,1.2589646893465996,0.7288835598188116,25,2,16250.0
