daysOnMarket,availableFrom,street,price,borough,zip,propertyType,beds,baths,latitude,longitude,hasVideo,PhotosNum,Number of Households,Median Household Income,Per Capita Income,Total Income Distribution,Median Gross Rent,Median Home Value,Occupied Housing Units,Vacant Housing Units,"Owner-Occupied Units (value < $100,000)",Monthly Housing Costs,Precinct,schools_in_precinct,nearby_subway_stations,crime_rate,precinct_safety_rank,Median Age_ratio,Male Population_ratio,Female Population_ratio,White Alone_ratio,Black or African American Alone_ratio,Asian Alone_ratio,Hispanic or Latino_ratio,Population Below Poverty Level_ratio,Employed_ratio,Unemployed_ratio,High School Graduate (Age 25+)_ratio,Bachelor’s Degree (Age 25+)_ratio,Graduate or Professional Degree (Age 25+)_ratio,Never Married_ratio,Currently Married_ratio,Divorced_ratio
31.0,2024-12-01,330 Haven Avenue #2A,2000.0,Manhattan,10033,coop,0,1.0,40.85100174,-73.94210052,1,7,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,6,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
32.0,2024-10-25,407 Audubon Avenue #2D,2600.0,Manhattan,10033,rental,2,1.0,40.85141045,-73.93002738,1,12,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,6,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
33.0,2024-10-24,245 Bennett Avenue #5D,1900.0,Manhattan,10040,coop,0,1.0,40.85826932,-73.93259469,1,4,16541.0,59115.0,35363.0,16541.0,1623.0,454000.0,16541.0,889.0,9.0,1597.0,34,34,6,1.1011802769995858,29,0.0009231897005933,0.475110530776808,0.524889469223192,0.281492680915401,0.0631800792614482,0.0191281240693652,0.7179117128261517,0.1788193251322933,0.4622591803541566,0.0854465901541703,0.1251231301399674,0.1531853480860422,0.014386181934804,0.1834925434678029,0.1654869081162806,0.0566055024855107
5.0,2024-10-24,725 West 184th Street #7E,1830.0,Manhattan,10033,rental,0,1.0,40.85267653,-73.93608795,1,17,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,34,34,6,1.1011802769995858,29,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
34.0,2024-10-23,46 Wadsworth Terrace #40,2200.0,Manhattan,10040,rental,2,1.0,40.85609907,-73.93112861,1,5,16541.0,59115.0,35363.0,16541.0,1623.0,454000.0,16541.0,889.0,9.0,1597.0,34,34,6,1.1011802769995858,29,0.0009231897005933,0.475110530776808,0.524889469223192,0.281492680915401,0.0631800792614482,0.0191281240693652,0.7179117128261517,0.1788193251322933,0.4622591803541566,0.0854465901541703,0.1251231301399674,0.1531853480860422,0.014386181934804,0.1834925434678029,0.1654869081162806,0.0566055024855107
38.0,2024-10-19,247 Audubon Avenue #2,1995.0,Manhattan,10033,rental,0,1.0,40.84622519,-73.93381347,1,5,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,33,19,3,0.8979932210478577,15,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
39.0,2024-10-18,609 West 174th Street #606,2750.0,Manhattan,10033,rental,2,1.0,40.84523643,-73.93754444,1,7,20521.0,77209.0,44492.0,20521.0,1674.0,702500.0,20521.0,1459.0,24.0,1663.0,33,19,3,0.8979932210478577,15,0.0006302055832808,0.520583876956618,0.479416123043382,0.3268212089727649,0.0715027848273747,0.0341503295804874,0.6719013472773415,0.16071945631994,0.5099385123741718,0.0662908143278091,0.1049888436579176,0.1597145339033571,0.0142903374154758,0.2277767368976852,0.1598848597366762,0.0483214389126398
50.0,2024-10-07,519 West 158th Street #2F,4100.0,Manhattan,10032,rental,3,2.0,40.8341037,-73.9424551,1,14,22285.0,56752.0,38741.0,22285.0,1519.0,593000.0,22285.0,1875.0,62.0,1515.0,33,19,9,0.8979932210478577,15,0.0006167328042328,0.5020337301587302,0.4979662698412698,0.2154100529100529,0.1686011904761905,0.0464616402116402,0.6565806878306878,0.1951719576719576,0.4801587301587302,0.0715608465608465,0.1057208994708994,0.1724867724867725,0.0160383597883597,0.2445767195767196,0.1515873015873015,0.0390046296296296
49.0,2024-10-21,156-08 Riverside Drive West #2K,2650.0,Manhattan,10032,condo,1,1.0,40.83498762,-73.94851824,1,11,22285.0,56752.0,38741.0,22285.0,1519.0,593000.0,22285.0,1875.0,62.0,1515.0,33,19,3,0.8979932210478577,15,0.0006167328042328,0.5020337301587302,0.4979662698412698,0.2154100529100529,0.1686011904761905,0.0464616402116402,0.6565806878306878,0.1951719576719576,0.4801587301587302,0.0715608465608465,0.1057208994708994,0.1724867724867725,0.0160383597883597,0.2445767195767196,0.1515873015873015,0.0390046296296296
47.0,2024-10-15,179 Bennett Avenue #6F,2350.0,Manhattan,10040,rental,1,1.0,40.8561445,-73.93372046,1,12,16541.0,59115.0,35363.0,16541.0,1623.0,454000.0,16541.0,889.0,9.0,1597.0,34,34,6,1.1011802769995858,29,0.0009231897005933,0.475110530776808,0.524889469223192,0.281492680915401,0.0631800792614482,0.0191281240693652,0.7179117128261517,0.1788193251322933,0.4622591803541566,0.0854465901541703,0.1251231301399674,0.1531853480860422,0.014386181934804,0.1834925434678029,0.1654869081162806,0.0566055024855107
