id,price,longitude,latitude,url
4597458,1855,-73.92229257,40.66218554,https://www.streeteasy.com/rental/4597458
4596229,2235,-73.92412175,40.66381716,https://www.streeteasy.com/rental/4596229
4596223,1750,-73.91705471,40.66850585,https://www.streeteasy.com/rental/4596223
4596221,2000,-73.91705471,40.66850585,https://www.streeteasy.com/rental/4596221
4594153,1850,-73.91774977,40.65734882,https://www.streeteasy.com/rental/4594153
4593184,3000,-73.92260168,40.65982523,https://www.streeteasy.com/rental/4593184
4590834,1749,-73.91409863,40.65745594,https://www.streeteasy.com/rental/4590834
4587998,1875,-73.91687474,40.66829437,https://www.streeteasy.com/rental/4587998
4587190,3499,-73.91492349,40.66066246,https://www.streeteasy.com/rental/4587190
4576533,1760,-73.9203107,40.65568728,https://www.streeteasy.com/rental/4576533
4562010,2000,-73.91687474,40.66829437,https://www.streeteasy.com/rental/4562010
4504419,3777,-73.91223734,40.66136585,https://www.streeteasy.com/rental/4504419
4504330,3027,-73.91223734,40.66136585,https://www.streeteasy.com/rental/4504330
4597201,5600,-73.99810028,40.71760178,https://www.streeteasy.com/rental/4597201
4594055,2875,-73.99846685,40.71777415,https://www.streeteasy.com/rental/4594055
4592385,4200,-73.99810028,40.71760178,https://www.streeteasy.com/rental/4592385
4592045,7500,-73.99639893,40.71979904,https://www.streeteasy.com/rental/4592045
4591500,3200,-73.99661622,40.71822425,https://www.streeteasy.com/rental/4591500
4589290,5430,-73.99604259,40.71914372,https://www.streeteasy.com/rental/4589290
4589224,2700,-73.9971357,40.7181776,https://www.streeteasy.com/rental/4589224
4589195,4000,-73.99604257,40.71948682,https://www.streeteasy.com/rental/4589195
4582271,3040,-73.99850289,40.71925357,https://www.streeteasy.com/rental/4582271
4581981,9500,-73.9980011,40.72019958,https://www.streeteasy.com/rental/4581981
4579864,3666,-73.99737733,40.71986014,https://www.streeteasy.com/rental/4579864
4578034,40000,-73.99764067,40.71994798,https://www.streeteasy.com/rental/4578034
4572690,4790,-73.99740258,40.71979427,https://www.streeteasy.com/rental/4572690
4566668,3750,-73.99591641,40.71778781,https://www.streeteasy.com/rental/4566668
4566340,2777,-73.99805922,40.71748319,https://www.streeteasy.com/rental/4566340
4566328,2678,-73.99805922,40.71748319,https://www.streeteasy.com/rental/4566328
4550223,19950,-73.99790192,40.71860123,https://www.streeteasy.com/rental/4550223
4533141,4000,-73.99591641,40.71778781,https://www.streeteasy.com/rental/4533141
4478416,4995,-73.9980011,40.71780014,https://www.streeteasy.com/rental/4478416
4598055,2350,-74.03036903,40.61885114,https://www.streeteasy.com/rental/4598055
4596410,2300,-74.03906054,40.61837641,https://www.streeteasy.com/rental/4596410
4596395,3700,-74.03906054,40.61837641,https://www.streeteasy.com/rental/4596395
4595871,2000,-74.02997488,40.61544221,https://www.streeteasy.com/rental/4595871
4595786,2900,-74.03765989,40.6193403,https://www.streeteasy.com/rental/4595786
4595380,1899,-74.03669491,40.62002406,https://www.streeteasy.com/rental/4595380
4595129,1675,-74.03520203,40.61259842,https://www.streeteasy.com/rental/4595129
4595101,3400,-74.03172683,40.61847473,https://www.streeteasy.com/rental/4595101
4594805,2000,-74.03341432,40.61472487,https://www.streeteasy.com/rental/4594805
4594266,3500,-74.03070807,40.61981447,https://www.streeteasy.com/rental/4594266
4593973,3500,-74.02608987,40.61909098,https://www.streeteasy.com/rental/4593973
4593937,2500,-74.030863,40.61988854,https://www.streeteasy.com/rental/4593937
4593935,1850,-74.02619812,40.61956581,https://www.streeteasy.com/rental/4593935
4593871,3500,-74.0352739,40.61667312,https://www.streeteasy.com/rental/4593871
4593627,2600,-74.03489028,40.61321479,https://www.streeteasy.com/rental/4593627
4593393,1935,-74.03126539,40.61765142,https://www.streeteasy.com/rental/4593393
4593186,2500,-74.030863,40.61988854,https://www.streeteasy.com/rental/4593186
4592679,1899,-74.03669491,40.62002406,https://www.streeteasy.com/rental/4592679
4591375,2100,-74.02930454,40.62276274,https://www.streeteasy.com/rental/4591375
4590527,1599,-74.03502018,40.61366764,https://www.streeteasy.com/rental/4590527
4589209,1650,-74.02584139,40.61926945,https://www.streeteasy.com/rental/4589209
4586425,4000,-74.03318754,40.61501314,https://www.streeteasy.com/rental/4586425
4583883,2100,-74.03383277,40.62308813,https://www.streeteasy.com/rental/4583883
4563295,2800,-74.02898444,40.61564283,https://www.streeteasy.com/rental/4563295
4562496,3000,-74.03064697,40.62011367,https://www.streeteasy.com/rental/4562496
