daysOnMarket,availableFrom,price,zip,beds,baths,latitude,longitude,hasVideo,PhotosNum,Number of Households,Median Household Income,Per Capita Income,Total Income Distribution,Median Gross Rent,Median Home Value,Occupied Housing Units,Vacant Housing Units,"Owner-Occupied Units (value < $100,000)",Monthly Housing Costs,Precinct,schools_in_precinct,nearby_subway_stations,crime_rate,precinct_safety_rank,Median Age_ratio,Male Population_ratio,Female Population_ratio,White Alone_ratio,Black or African American Alone_ratio,Asian Alone_ratio,Hispanic or Latino_ratio,Population Below Poverty Level_ratio,Employed_ratio,Unemployed_ratio,High School Graduate (Age 25+)_ratio,Bachelor’s Degree (Age 25+)_ratio,Graduate or Professional Degree (Age 25+)_ratio,Never Married_ratio,Currently Married_ratio,Divorced_ratio,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,propertyType_condo,propertyType_coop,propertyType_house,propertyType_rental,propertyType_townhouse,street_number,year_available,month_available,day_available
1.0,2024-11-25,1855.0,11212,1,1.0,40.66218554,-73.92229257,1,4,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,67,41,3,1.8939370214715392,64,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,171.0,2024,11,25
4.0,2024-11-22,2235.0,11212,2,1.0,40.66381716,-73.92412175,1,5,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,67,41,3,1.8939370214715392,64,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,93.0,2024,11,22
4.0,2024-11-22,1750.0,11212,1,1.0,40.66850585,-73.91705471,1,7,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,73,56,0,2.036421049698383,67,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,501.0,2024,11,22
6.0,2024-11-20,1850.0,11212,1,1.0,40.65734882,-73.91774977,1,4,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,67,41,3,1.8939370214715392,64,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,1115.0,2024,11,20
7.0,2024-11-19,3000.0,11212,3,1.0,40.65982523,-73.92260168,1,9,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,67,41,0,1.8939370214715392,64,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,1075.0,2024,11,19
11.0,2024-11-15,1749.0,11212,1,1.0,40.65745594,-73.91409863,1,9,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,73,56,3,2.036421049698383,67,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,945.0,2024,11,15
15.0,2024-12-01,3499.0,11212,3,1.0,40.66066246,-73.91492349,1,12,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,73,56,3,2.036421049698383,67,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,819.0,2024,12,1
28.0,2024-11-01,1760.0,11212,1,1.0,40.65568728,-73.9203107,1,8,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,67,41,0,1.8939370214715392,64,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,435.0,2024,11,1
48.0,2024-11-13,2000.0,11212,2,1.0,40.66829437,-73.91687474,1,5,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,73,56,0,2.036421049698383,67,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,509.0,2024,11,13
88.0,2024-08-07,3777.0,11212,0,1.0,40.66136585,-73.91223734,1,3,32091.0,35840.0,21502.0,32091.0,1150.0,565200.0,32091.0,2438.0,154.0,1196.0,73,56,6,2.036421049698383,67,0.0004428255124633,0.4247553746160988,0.5752446253839012,0.06644763469276,0.7305430564483489,0.0078446777611123,0.1948075137490179,0.3247744208746994,0.3696164559674309,0.0612932409589791,0.2001642739804299,0.0793633788062757,0.0023926862366973,0.1881413232388162,0.1003023593552841,0.0269385520081898,1,0,0,0,0,0,0,1,0,363.0,2024,8,7
