iter	Passed	Remaining
404	7907	9665
405	7922	9639
406	7939	9617
407	7958	9596
408	7980	9580
409	8005	9567
410	8023	9546
411	8046	9530
412	8070	9516
413	8086	9493
414	8104	9472
415	8120	9448
416	8144	9432
417	8168	9419
418	8188	9400
419	8204	9376
420	8230	9363
421	8249	9343
422	8269	9325
423	8283	9299
424	8300	9276
425	8317	9255
426	8337	9235
427	8356	9215
428	8375	9195
429	8396	9177
430	8413	9155
431	8423	9125
432	8442	9105
433	8456	9080
434	8470	9054
435	8484	9028
436	8505	9011
437	8522	8989
438	8544	8972
439	8592	8983
440	8614	8966
441	8630	8942
442	8650	8923
443	8668	8903
444	8689	8884
445	8710	8866
446	8722	8839
447	8736	8814
448	8756	8795
449	8778	8778
450	8799	8760
451	8814	8736
452	8834	8717
453	8853	8697
454	8868	8673
455	8892	8658
456	8908	8635
457	8927	8615
458	8946	8595
459	8964	8574
460	8987	8558
461	9007	8539
462	9025	8518
463	9043	8497
464	9065	8480
465	9084	8460
466	9100	8437
467	9120	8418
468	9132	8392
469	9147	8369
470	9167	8349
471	9189	8332
472	9209	8314
473	9233	8298
474	9251	8277
475	9274	8260
476	9294	8242
477	9308	8218
478	9328	8199
479	9344	8176
480	9363	8156
481	9380	8135
482	9399	8115
483	9422	8098
484	9437	8075
485	9456	8055
486	9472	8032
487	9491	8013
488	9513	7996
489	9530	7974
490	9552	7956
491	9567	7934
492	9584	7912
493	9603	7892
494	9625	7875
495	9641	7853
496	9664	7836
497	9682	7816
498	9700	7795
499	9716	7773
500	9740	7757
501	9763	7741
502	9779	7718
503	9805	7704
504	9821	7682
505	9836	7659
506	9853	7638
507	9869	7616
508	9893	7599
509	9917	7583
510	9942	7568
511	9962	7549
512	9986	7533
513	10004	7513
514	10025	7494
515	10043	7474
516	10062	7454
517	10083	7436
518	10100	7414
519	10121	7396
520	10139	7376
521	10160	7357
522	10177	7336
523	10193	7314
524	10211	7294
525	10232	7275
526	10246	7252
527	10265	7232
528	10281	7210
529	10300	7190
530	10316	7168
531	10329	7145
532	10352	7128
533	10372	7109
534	10396	7092
535	10416	7073
536	10463	7072
537	10478	7050
538	10493	7028
539	10515	7010
540	10532	6989
541	10547	6966
542	10570	6949
543	10587	6928
544	10602	6906
545	10619	6885
546	10644	6869
547	10660	6847
548	10686	6832
549	10709	6815
550	10731	6797
551	10755	6780
552	10780	6764
553	10794	6741
554	10815	6722
555	10837	6705
556	10855	6684
557	10882	6669
558	10907	6653
559	10925	6633
560	10947	6615
561	10969	6597
562	10988	6577
563	11004	6555
564	11025	6537
565	11042	6516
566	11055	6492
567	11076	6474
568	11092	6452
569	11105	6429
570	11120	6407
571	11133	6384
572	11148	6362
573	11166	6342
574	11182	6320
575	11197	6298
576	11213	6277
577	11233	6258
578	11251	6237
579	11273	6220
580	11292	6200
581	11311	6180
582	11329	6160
583	11348	6140
584	11362	6118
585	11376	6096
586	11401	6079
587	11423	6061
588	11439	6040
589	11457	6020
590	11478	6001
591	11495	5980
592	11514	5961
593	11530	5940
594	11547	5919
595	11568	5900
596	11587	5880
597	11600	5858
598	11620	5839
599	11643	5821
600	11653	5797
601	11669	5776
602	11689	5757
603	11700	5734
604	11722	5715
605	11737	5694
606	11752	5673
607	11776	5655
608	11795	5636
609	11817	5618
610	11834	5597
611	11854	5578
612	11875	5559
613	11896	5541
614	11923	5525
615	11941	5505
616	11957	5484
617	11978	5465
618	12002	5448
619	12026	5431
620	12074	5424
621	12089	5403
622	12110	5384
623	12126	5363
624	12146	5344
625	12169	5326
626	12192	5308
627	12205	5286
628	12221	5265
629	12242	5246
630	12258	5225
631	12275	5205
632	12288	5183
633	12304	5162
634	12320	5141
635	12341	5122
636	12355	5101
637	12373	5081
638	12387	5059
639	12410	5041
640	12430	5022
641	12445	5001
642	12463	4981
643	12485	4962
644	12506	4944
645	12526	4925
646	12548	4906
647	12567	4887
648	12588	4868
649	12600	4846
650	12616	4825
651	12632	4805
652	12658	4788
653	12677	4768
654	12697	4749
655	12721	4731
656	12741	4712
657	12755	4691
658	12777	4672
659	12797	4653
660	12817	4634
661	12828	4611
662	12848	4593
663	12862	4571
664	12883	4552
665	12904	4533
666	12919	4513
667	12941	4494
668	12964	4476
669	12983	4457
670	13005	4438
671	13027	4420
672	13043	4399
673	13064	4380
674	13081	4360
675	13096	4339
676	13111	4318
677	13133	4300
678	13155	4281
679	13177	4263
680	13198	4244
681	13219	4225
682	13237	4205
683	13248	4183
684	13262	4162
685	13281	4143
686	13301	4124
687	13322	4105
688	13337	4084
689	13358	4065
690	13380	4046
691	13394	4026
692	13409	4005
693	13432	3987
694	13446	3966
695	13467	3947
696	13486	3927
697	13504	3908
698	13519	3887
699	13536	3867
700	13557	3848
701	13573	3828
702	13595	3809
703	13613	3790
704	13636	3771
705	13658	3753
706	13682	3735
707	13703	3716
708	13726	3697
709	13748	3679
710	13770	3660
711	13790	3641
712	13805	3620
713	13816	3599
714	13836	3580
715	13857	3561
716	13870	3540
717	13886	3519
718	13908	3501
719	13927	3481
720	13943	3461
721	13964	3442
722	13986	3424
723	14006	3404
724	14026	3385
725	14046	3366
726	14068	3347
727	14080	3326
728	14097	3306
729	14118	3287
730	14136	3268
731	14150	3247
732	14170	3228
733	14194	3210
734	14218	3191
735	14241	3173
736	14258	3153
737	14283	3135
738	14306	3116
739	14319	3096
740	14336	3076
741	14359	3057
742	14381	3038
743	14396	3018
744	14416	2999
745	14432	2979
746	14454	2960
