iter	MultiClass
0	1.7624468
1	1.736720621
2	1.712145788
3	1.688023129
4	1.665138336
5	1.643306778
6	1.623435467
7	1.604344137
8	1.586065324
9	1.569287019
10	1.55252354
11	1.536118271
12	1.521701185
13	1.507295528
14	1.491387333
15	1.477524507
16	1.464447183
17	1.453159061
18	1.441169958
19	1.430041399
20	1.419113196
21	1.407753422
22	1.396707542
23	1.386730521
24	1.376820488
25	1.368161687
26	1.359513004
27	1.350790134
28	1.341725081
29	1.333539632
30	1.324826836
31	1.316709827
32	1.309525404
33	1.302218437
34	1.294458425
35	1.287406856
36	1.2814796
37	1.274234418
38	1.267737025
39	1.260871258
40	1.25528159
41	1.24940267
42	1.243600192
43	1.237705883
44	1.232493733
45	1.22727927
46	1.221875083
47	1.217627102
48	1.212782319
49	1.207761628
50	1.202255198
51	1.197314353
52	1.192800432
53	1.188419183
54	1.184121514
55	1.180308371
56	1.176119742
57	1.171608218
58	1.167375882
59	1.163613257
60	1.159474883
61	1.155531067
62	1.150812821
63	1.147224527
64	1.143001664
65	1.139648382
66	1.13684392
67	1.133499995
68	1.12994118
69	1.127012239
70	1.124192117
71	1.121143054
72	1.117719701
73	1.114655352
74	1.111178359
75	1.108378436
76	1.105175136
77	1.102080342
78	1.09869418
79	1.095937052
80	1.093167271
81	1.09118878
82	1.088200143
83	1.08566156
84	1.083735263
85	1.081314188
86	1.07852899
87	1.076530055
88	1.074710535
89	1.072557981
90	1.070376689
91	1.067982082
92	1.065387859
93	1.063024168
94	1.060972311
95	1.058626295
96	1.056480915
97	1.054574284
98	1.052070563
99	1.049861769
100	1.04770897
101	1.045574101
102	1.043590614
103	1.041981555
104	1.040012474
105	1.037938267
106	1.036510021
107	1.034338264
108	1.032212612
109	1.030398222
110	1.028899019
111	1.027583053
112	1.025923535
113	1.024324471
114	1.022608267
115	1.020159352
116	1.018435581
117	1.016933844
118	1.015170283
119	1.013295153
120	1.011743166
121	1.010411036
122	1.009195991
123	1.007776695
124	1.006004495
125	1.005040596
126	1.003497633
127	1.001835724
128	1.000501564
129	0.9988725252
130	0.9975720503
131	0.9962763327
132	0.9949443808
133	0.993659632
134	0.9925301997
135	0.9911222699
136	0.9895492592
137	0.9881561303
138	0.9869321117
139	0.9855644636
140	0.9846333208
141	0.983487203
142	0.9817826497
143	0.9803987345
144	0.9791819393
145	0.9783324872
146	0.9770123826
147	0.9757408488
148	0.9742788402
149	0.9732288373
150	0.97219631
151	0.9710513176
