iter	MultiClass
152	0.9701764138
153	0.9691504115
154	0.9682562673
155	0.9668290959
156	0.9660946016
157	0.9651392588
158	0.9639022412
159	0.9620877793
160	0.9612051901
161	0.9599550058
162	0.959096745
163	0.9581129526
164	0.957357299
165	0.956210927
166	0.9552654408
167	0.9537378758
168	0.9525632952
169	0.9517644489
170	0.9506690191
171	0.9494213592
172	0.9485824155
173	0.9475526201
174	0.9463968814
175	0.9453445086
176	0.944497868
177	0.943664393
178	0.9428937814
179	0.9419344592
180	0.940870988
181	0.9395599492
182	0.9385307181
183	0.9376898771
184	0.9367617178
185	0.9359541249
186	0.935218447
187	0.9343141723
188	0.9334472427
189	0.9325395642
190	0.931344308
191	0.9305500634
192	0.9300292943
193	0.9289609076
194	0.927954116
195	0.9269475529
196	0.9262547766
197	0.9256292066
198	0.9244780077
199	0.9238825342
200	0.9230924052
201	0.9221381696
202	0.9215332997
203	0.9208123931
204	0.9194896967
205	0.9189018703
206	0.9178926945
207	0.917485996
208	0.9167882954
209	0.9160473172
210	0.915408362
211	0.9143068428
212	0.9137703218
213	0.9127831822
214	0.9119849215
215	0.9109842778
216	0.910603258
217	0.9098609785
218	0.909298076
219	0.9084932557
220	0.9079377184
221	0.90732784
222	0.9069582358
223	0.9061502046
224	0.9051041081
225	0.904427216
226	0.9038689086
227	0.9033455982
228	0.9026777311
229	0.9020813407
230	0.901185927
231	0.9005144073
232	0.8996019675
233	0.8988195671
234	0.8981040476
235	0.8974796819
236	0.8970008714
237	0.8964410339
238	0.8958606847
239	0.8953296415
240	0.8944317591
241	0.8937164281
242	0.893250394
243	0.8926224337
244	0.892006356
245	0.8914411984
246	0.8908302735
247	0.8899423231
248	0.8892880351
249	0.8884183888
250	0.8878660337
251	0.8869468503
252	0.8863131449
253	0.8855966551
254	0.8851329305
255	0.8845620492
256	0.8842421343
257	0.8836619692
258	0.8828348691
259	0.8822851683
260	0.8815173699
261	0.8806478004
262	0.879963536
263	0.8793011472
264	0.8787960051
265	0.878142873
266	0.8775919643
267	0.8768041551
268	0.8759413125
269	0.8753241842
270	0.8746407184
271	0.8741649991
272	0.8732469765
273	0.8725121347
274	0.8718651588
275	0.8713435977
276	0.8704851814
277	0.8699641527
278	0.8694191351
279	0.8687603323
280	0.8680419606
281	0.8671355541
282	0.8665578986
283	0.865925989
284	0.8650975054
285	0.8642620926
286	0.8635566294
287	0.8628375902
288	0.8621944606
289	0.8614134761
290	0.8609181623
291	0.859825238
292	0.8591924369
293	0.8583689736
294	0.857746767
295	0.8571522854
296	0.8565995084
297	0.8559230742
298	0.8549977571
299	0.8546081592
300	0.8536598521
301	0.8530570187
302	0.8523667727
303	0.8512025749
304	0.8506322575
305	0.8500069618
306	0.848757932
307	0.8479085369
308	0.8474245467
309	0.8468354611
310	0.846282527
311	0.8456198951
312	0.8444260802
313	0.8438213226
314	0.8431579059
315	0.8423921703
316	0.841288279
317	0.8404440931
318	0.839636761
319	0.8389501563
320	0.838436256
321	0.838028676
322	0.837333269
323	0.8362524335
324	0.8358095726
325	0.8350781943
326	0.8343380224
327	0.8336091083
328	0.8329491422
329	0.8323939241
330	0.8317371279
331	0.8310909981
332	0.8304613088
333	0.8301979412
334	0.8297345533
335	0.829416102
336	0.8289746613
337	0.8279660006
338	0.8272638172
339	0.8268546594
340	0.8263812177
341	0.8256509542
342	0.8252278186
343	0.8245450112
344	0.8240358695
345	0.8235407413
346	0.822052598
347	0.8218091816
348	0.821109671
349	0.8207248319
350	0.8204107486
351	0.8192437899
352	0.8188149678
353	0.8182244668
354	0.8176699374
355	0.8167379776
356	0.8157048984
357	0.8151619093
358	0.8147444103
359	0.8141288518
360	0.8136559136
361	0.8129386835
362	0.8120561001
363	0.8115317255
364	0.8108924875
365	0.8104174054
366	0.809969986
367	0.8091638697
368	0.8082641403
369	0.80768102
370	0.8068752453
371	0.806113273
372	0.8050456833
373	0.8042586021
374	0.8034522794
375	0.8029276402
376	0.8022743277
377	0.801607818
378	0.8008580616
379	0.800404641
380	0.7999706409
381	0.7992219949
382	0.7988947939
383	0.7983510648
384	0.7977552505
385	0.7969161706
386	0.7964432965
387	0.7955417072
388	0.7945399832
389	0.7936009914
390	0.7927425164
391	0.7919950142
392	0.7915376068
393	0.7910717145
394	0.7906984687
395	0.7900491045
396	0.7896178829
397	0.7887418912
398	0.788319079
399	0.7877141582
400	0.7873467634
401	0.786867585
402	0.7863624627
403	0.7855345872
404	0.7852602115
405	0.7846046992
406	0.7841219862
407	0.7831940408
408	0.7822417234
409	0.7810286398
410	0.7803811364
411	0.7799306296
412	0.779274467
413	0.7787330853
414	0.7784256889
415	0.7781786857
416	0.7774753682
417	0.7768462185
418	0.776397786
419	0.775905106
420	0.7751415678
421	0.7745384937
422	0.7736267473
423	0.7732930857
424	0.7728108409
425	0.7722472982
426	0.7714756432
427	0.7707959563
428	0.7699890528
429	0.76919618
430	0.7684793202
431	0.7682078829
432	0.767733627
433	0.767300135
434	0.7668416126
435	0.7665314917
436	0.7658789206
437	0.7655027189
438	0.7650783035
439	0.7645158261
440	0.7639446095
441	0.7636341497
442	0.7632441071
443	0.7626156895
444	0.7618346457
445	0.7615431487
446	0.7610874309
447	0.7608721757
448	0.7605020876
449	0.7599877177
450	0.7592838099
451	0.7587588342
452	0.7582386915
453	0.7575015794
454	0.7570562769
455	0.7560920351
456	0.755462147
457	0.7547870608
458	0.7541910045
459	0.7535346024
460	0.7529007972
461	0.7523765784
462	0.7519678825
463	0.7515356062
464	0.7506959204
465	0.7503483922
466	0.750098137
467	0.7495071924
468	0.7492070207
469	0.7489400476
470	0.7486096544
471	0.7479581441
472	0.7475568334
473	0.7467130922
474	0.7464545534
475	0.7458782189
476	0.7453449978
477	0.745114397
478	0.7446170462
479	0.7443517571
480	0.7437565828
481	0.7435076942
482	0.7432139572
483	0.7427197368
484	0.7421795609
485	0.7414715238
486	0.7406952481
487	0.7402266954
488	0.739379352
489	0.7389578581
490	0.7384045485
491	0.7378859558
492	0.7375924333
493	0.7369990759
494	0.7364587928
495	0.736075943
496	0.7355689113
497	0.7351511513
498	0.7344690571
499	0.7343072923
500	0.7332989732
501	0.7329409349
502	0.7327052341
503	0.7314441869
504	0.730830979
505	0.7305405239
506	0.7299951772
507	0.7293925293
508	0.7286073146
509	0.7280540909
510	0.7274317034
511	0.7268749595
512	0.7262358151
513	0.7258192671
514	0.7252082644
515	0.7248206375
516	0.7243074351
517	0.7234298575
518	0.7230213674
519	0.7223784715
520	0.7217855331
521	0.7211844856
522	0.7209189552
523	0.7204663578
524	0.7201548522
525	0.7197480262
526	0.7193257954
527	0.7189029177
528	0.718714086
529	0.7182239412
530	0.7177342882
531	0.7174606987
532	0.7167847539
533	0.7162234079
534	0.7156205986
535	0.7151078102
536	0.71456394
537	0.7143497268
538	0.7139870567
539	0.7133106895
540	0.7129821259
541	0.7126640259
542	0.7119491821
543	0.7115328645
544	0.7112063692
545	0.7106623835
546	0.7100803696
547	0.7096860264
548	0.7089193753
549	0.7083890617
550	0.7080551274
551	0.7075914949
552	0.7070285939
553	0.7067492363
554	0.705973265
555	0.7057948797
556	0.705543786
557	0.7047595727
558	0.7039820235
559	0.7033976379
560	0.7026657508
561	0.701985034
562	0.7015254684
563	0.7009657645
564	0.7004976588
565	0.7000032691
566	0.6996346816
567	0.6987256902
568	0.6985390682
569	0.6982453985
570	0.6978414779
571	0.6974991986
572	0.6971727287
573	0.696851029
574	0.6964851549
575	0.6961992003
576	0.6959686493
577	0.6954627704
578	0.6952808339
579	0.6946809273
580	0.6942753321
581	0.6938007203
582	0.6933644737
583	0.6930588466
584	0.6928996567
585	0.6925764092
586	0.6917749724
587	0.6912515379
588	0.6908140736
589	0.6903591737
590	0.6900302127
591	0.6896383694
592	0.6892250687
593	0.688957421
594	0.6888495983
595	0.6882982572
596	0.6880298418
597	0.6875788901
598	0.686901694
599	0.6862812476
600	0.6861397819
601	0.6854871403
602	0.6851417384
603	0.6849732252
604	0.684254862
605	0.6840484082
606	0.683584416
607	0.6830855271
608	0.6826053756
609	0.6820662874
610	0.6814661626
611	0.681150272
612	0.6807702104
613	0.6803323222
614	0.6795208496
615	0.679150899
616	0.679002199
617	0.67834217
618	0.6779988693
619	0.6777216824
620	0.6772888141
621	0.6770780734
622	0.676735093
623	0.6762622096
624	0.6757042918
625	0.6749524037
626	0.674229776
627	0.6740422469
628	0.6737593725
629	0.673027575
630	0.6726589782
631	0.6722500787
632	0.6718345936
633	0.6715536448
634	0.671022878
635	0.6702732505
636	0.6698950349
637	0.6695076083
638	0.6693309889
639	0.6687734363
640	0.6683843064
641	0.6682307513
642	0.6678497799
643	0.6674132182
644	0.6667262978
645	0.6663753588
646	0.6658947005
647	0.6656751819
648	0.6649732938
649	0.6647805504
650	0.6643674587
651	0.664140343
652	0.6636203104
653	0.6630333524
654	0.6625406042
655	0.6616010074
656	0.6613065107
657	0.6608579359
658	0.6603030097
659	0.6598897174
660	0.6594420593
661	0.6592996717
662	0.6587684674
663	0.6585043771
664	0.6578830192
665	0.657213691
666	0.656777258
667	0.6562744272
668	0.6558146232
669	0.6553018943
670	0.6547474043
671	0.6539606867
672	0.6536240079
673	0.6530401691
674	0.6527345446
675	0.6522640759
676	0.6517479919
677	0.6511486837
678	0.6506531004
679	0.6501446699
680	0.6497160764
681	0.6493234653
682	0.6489087203
683	0.648752908
684	0.6483454175
685	0.6481433493
686	0.6477411376
687	0.6471892231
688	0.6468858618
689	0.6461927505
690	0.6456894155
691	0.6454199768
692	0.6449810204
693	0.644262531
694	0.6440624701
695	0.6435638893
696	0.6430862912
697	0.6428745707
698	0.6422723325
699	0.6417580496
700	0.6413599622
701	0.6408556334
702	0.6401988703
703	0.6398232095
704	0.6389916923
705	0.6383602494
706	0.6377304117
707	0.6374110269
708	0.636932327
709	0.6363544161
710	0.6358247993
711	0.6354189213
712	0.6351217655
713	0.634887293
714	0.634535218
715	0.6339995808
716	0.6338266318
717	0.6333541026
718	0.6328054156
719	0.6323005542
720	0.6319177771
721	0.6315122737
722	0.6310608901
723	0.6306573026
724	0.6301200876
725	0.6297470703
726	0.6291253681
727	0.6289188508
728	0.6287470215
729	0.6283340659
730	0.6281425293
731	0.6279034181
732	0.6274512256
733	0.6268550265
734	0.6263557619
735	0.6257746693
736	0.6251871239
737	0.6246182791
738	0.6241304069
739	0.6239091685
740	0.6235439949
741	0.6232700668
742	0.6229603142
743	0.6225169116
744	0.6220743786
745	0.6217694815
746	0.6213948422
747	0.6212511873
748	0.6209938731
749	0.620666558
750	0.6200334407
751	0.6196218305
752	0.6191709344
753	0.6189098891
754	0.6184782313
755	0.6181793753
756	0.6177715362
757	0.6176301652
758	0.6171021115
759	0.6165947895
760	0.6161150049
761	0.6155761952
762	0.6150563612
763	0.6146800698
764	0.6142984595
765	0.6140023676
766	0.6136929093
767	0.6133111601
768	0.6127508547
769	0.6123408367
770	0.6117828915
771	0.611441283
772	0.6108404171
773	0.610305837
774	0.6098449137
775	0.609591457
776	0.6090381444
777	0.6084992705
778	0.6078544519
779	0.6072170836
780	0.6067804105
781	0.606351663
782	0.6058570373
783	0.605161933
784	0.6049242136
785	0.6047166005
786	0.6044344007
787	0.6041093868
788	0.6037284528
789	0.6034388282
790	0.6028355722
791	0.60261121
792	0.602390262
793	0.6021014102
794	0.6014509038
795	0.6011282975
796	0.6004812787
797	0.6002598597
798	0.5998738873
799	0.5994916273
800	0.5989994561
801	0.5984306541
802	0.5982827819
803	0.5977994217
804	0.5974560243
805	0.5970962532
806	0.596745349
807	0.5962436898
808	0.5960868773
809	0.5955666413
810	0.5951552815
811	0.5948699528
812	0.5944498689
813	0.5939658463
814	0.5938181646
815	0.5933936371
816	0.5929776249
817	0.5926249469
818	0.5922432312
819	0.5919182083
820	0.5915862205
821	0.591177313
822	0.5906248216
823	0.5902878389
824	0.5896682515
825	0.5893098596
826	0.5889782081
827	0.5887526382
828	0.5883821739
829	0.5880636201
830	0.5878402733
831	0.5874032097
832	0.5869490345
833	0.5864773727
834	0.586035507
835	0.5858206108
836	0.5853396361
837	0.5850009324
838	0.584392432
839	0.5838454192
840	0.583239598
841	0.5827739028
842	0.5823655096
843	0.5821768416
844	0.5819896644
845	0.5814497121
846	0.5811346416
847	0.580738619
848	0.5803116349
849	0.5800705627
850	0.5798621097
851	0.5796731163
852	0.5793386458
853	0.578895482
854	0.5782259846
855	0.5777405218
856	0.5773492204
857	0.5770175511
858	0.576842693
859	0.576529363
860	0.5760449866
861	0.5759114605
862	0.5754381337
863	0.5749266698
864	0.5746181547
865	0.5743309999
866	0.5740254802
867	0.5737210546
868	0.5734367065
869	0.5730026107
870	0.5725041012
871	0.5718436202
872	0.5714326589
873	0.5710580637
874	0.5704542402
875	0.5702266055
876	0.569683273
877	0.5693124755
878	0.569087155
879	0.5685962348
880	0.5682709019
881	0.5679447284
882	0.5678244851
883	0.5674950777
884	0.5671621238
885	0.5668331046
886	0.5665663666
887	0.5662097577
888	0.5658887273
889	0.56536783
890	0.5649545408
891	0.5645404395
892	0.5639963011
893	0.5635824115
894	0.5632572433
895	0.5629051021
896	0.5626739703
897	0.5624015721
898	0.5620216365
899	0.5618276953
